key,title,recap,is-theory,is-past,link,key:enrolment
activity-01,Selecciona la respuesta verdadera,Ante la tesitura de tener que elegir entre diversas opciones se solicita que el alumno escoja una de,true,false,null,enrolment-01
activity-02,Guerra de Independencia,Desarrolla que los eventos más importantes de la guerra,true,false,https://ferxxop.com/,enrolment-01
activity-03,Intencion comunicativa Intencion comunicativa Intencion comunicativa dise,"Explica la intención comunicativa del autor en el poema ""Amor más allá de la muerte""",true,true,https://www.cs.us.es/docencia/aulavirtual/login/index.php,enrolment-01
activity-04,Resuelve la derivada,Calcula el resultado de la siguiente derivada,false,true,https://www.youtube.com/watch?v=uP0EqM-aKY8&ab_channel=,enrolment-02
activity-05,Saltar a la comba,Salta 40 segundos a la comba a una pierna,false,false,https://github.com/adrrf/acme-life-long-learning,enrolment-06
activity-06,T,C,false,false,https://www.enlace1,enrolment-03
activity-07,Estoicismo,Desarrolla las bases del pensamiento estoico,true,false,https://twitter.com/pkmn_realidea,enrolment-05
activity-08,Doblaje de voz,Una actividad sobre imitar a Anuel,false,true,,enrolment-04
activity-09,Paraiso,Describe tu paraiso personal en 500 palabras,true,true,https://www.youtube.com/watch?v=uP0EqM-aKY8&ab_channel=YSYA,enrolment-07
activity-10,Jalon al Pecho,Ejecuta el ejercicio con la tecnica e intensidad correctas,true,false,https://clockify.me/,enrolment-08
